9210 9420	5 6 7 8	4	0	242	Machine Learning	HUNG-YI LEE	EE2	2 3 6 7 8 11 12 13 14 16 17 18 19 20 22 24 25 26 28 31 32 33 34 35 38 39 40 41 43
9010	2 3 4	3	0	55	Introduction to Biomedical Engineering	AN-CHI WEI	MD	0 4 11 14 15 16 17 18 20 21 22 24 25 26 28 33 34 35 37 43 44
9220 9440	5 6 7 8	3	0	43	Software Engineering Design	YEUN-CHUNG LEE	CSIE	2 3 9 17 18 20 21 24 26 27 28 31 32 34 37 43
9220 9440	5 6 7 8	3	0	52	System Design Topic - Design for IoT Middleware	CHI-SHENG SHIH	CSIE	2 4 10 11 19 23 31 32 34 35 36 41 42 43
9010	3	2	1	19	Power Electronics Laboratory	CHEN, YAOW-MING	EE2	0 1 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 31 32 34 35 37 38 39 40 41 42 43 44
9020	3	3	1	112	Formal Languages and Automata Theory	TONY TAN	CSIE	3 4 5 7 9 11 16 18 24 25 29 36 41 42
9470	7 8	3	1	24	Basic Molecular Biology(Ⅰ)	CHUANG, ERIC Y.	BL	1 3 4 5 6 8 9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 42 43
9020	3	3	1	60	Computer Architecture	SHIH-HAO HUNG	CSIE	1 2 4 5 6 7 11 12 13 14 15 18 19 20 21 22 23 24 25 26 27 28 30 32 33 35 36 37 38 40 41 42 43 44
9410	7 8	0	1	35	Seminar	HUNG-CHUN CHANG	EE2	1 11 13 15 18 22 28 30 32 33 36 37 43
9210	5 6 7 8	3	0	25	Robot Sensing and Control	REN C. LUO	BL	1 2 3 6 7 8 16 26 27 28 30 31 34 36 38 41
9210 9430	5 6 7 8	3	0	66	Vlsi Testing	CHIEN-MO LI	MD	0 3 4 5 8 17 18 19 21 23 26 27 28 31 32 33 38 44
9010	3	2	1	38	Electrical Engineering Lab (digital Circuit)	SHAO-YI CHIEN	EE2	0 1 2 5 11 15 18 19 25 27 29 39 42
